Day,Month,Year,Regulated,Natural
17,10,1925,9.306,9.550507278
18,10,1925,9.328,9.585159629
19,10,1925,9.33,9.616889695
20,10,1925,9.336,9.64501815
21,10,1925,9.358,9.668930079
22,10,1925,9.36,9.688541848
23,10,1925,9.36,9.703118792
24,10,1925,9.36,9.71198222
25,10,1925,9.36,9.714797823
26,10,1925,9.36,9.711571534
27,10,1925,9.36,9.702531488
28,10,1925,9.36,9.688247705
29,10,1925,9.36,9.669814446
30,10,1925,9.36,9.649037576
31,10,1925,9.354,9.62773724
1,11,1925,9.332,9.606266296
2,11,1925,9.33,9.588611487
3,11,1925,9.33,9.576285755
4,11,1925,9.33,9.570504031
5,11,1925,9.33,9.57115988
6,11,1925,9.33,9.5771795
7,11,1925,9.33,9.587123782
8,11,1925,9.33,9.599315583
9,11,1925,9.33,9.612024701
10,11,1925,9.33,9.623767289
11,11,1925,9.33,9.633303995
12,11,1925,9.33,9.63957716
13,11,1925,9.33,9.641824936
14,11,1925,9.33,9.639222195
15,11,1925,9.33,9.631172464
16,11,1925,9.33,9.617364185
17,11,1925,9.33,9.603118361
18,11,1925,9.324,9.57896672
19,11,1925,9.296,9.548953414
20,11,1925,9.264,9.51619982
21,11,1925,9.227,9.477364109
22,11,1925,9.196,9.435275206
23,11,1925,9.16,9.391289311
24,11,1925,9.097,9.346604312
25,11,1925,9.015,9.302256995
26,11,1925,8.947,9.258748639
27,11,1925,8.847,9.216527355
28,11,1925,8.705,9.1752395
29,11,1925,8.57,9.134836959
30,11,1925,8.41,9.09527022
1,12,1925,8.21,9.05440992
2,12,1925,8.031,9.01274808
3,12,1925,7.901,8.967036536
4,12,1925,7.872,8.913390358
5,12,1925,7.83,8.846480398
6,12,1925,7.931,8.759247679
7,12,1925,8.025,8.64510104
8,12,1925,8.082,8.504727094
9,12,1925,8.114,8.353595071
10,12,1925,8.15,8.21806848
11,12,1925,8.202,8.113894366
12,12,1925,8.245,8.03600211
13,12,1925,8.325,7.9765875
14,12,1925,8.393,7.93125824
15,12,1925,8.47,7.898356723
16,12,1925,8.504,7.880016409
17,12,1925,8.534,7.87139679
18,12,1925,8.564,7.868101517
19,12,1925,8.588,7.865296333
20,12,1925,8.59,7.858631456
21,12,1925,8.59,7.844096537
22,12,1925,8.596,7.822508358
23,12,1925,8.618,7.793406809
24,12,1925,8.62,7.756456336
25,12,1925,8.62,7.712581987
26,12,1925,8.634,7.663209439
27,12,1925,8.691,7.609421595
28,12,1925,8.718,7.552099897
29,12,1925,8.732,7.493511702
30,12,1925,8.788,7.43611008
31,12,1925,8.836,7.380059768
1,1,1926,8.846,7.327429219
2,1,1926,8.862,7.281271135
3,1,1926,8.848,7.246585177
4,1,1926,8.868,7.226556185
5,1,1926,8.87,7.221544313
6,1,1926,8.864,7.228693038
7,1,1926,8.836,7.2431264
8,1,1926,8.812,7.258867726
9,1,1926,8.822,7.270698425
10,1,1926,8.872,7.276646595
11,1,1926,8.898,7.277307341
12,1,1926,8.9,7.273636121
13,1,1926,8.9,7.265408959
14,1,1926,8.9,7.251587801
15,1,1926,8.9,7.231197886
16,1,1926,8.894,7.204062008
17,1,1926,8.872,7.169769995
18,1,1926,8.87,7.127748831
19,1,1926,8.87,7.077555966
20,1,1926,8.864,7.02007639
21,1,1926,8.836,6.958303088
22,1,1926,8.818,6.896409118
23,1,1926,8.844,6.838109645
24,1,1926,8.868,6.785733401
25,1,1926,8.87,6.740110326
26,1,1926,8.87,6.70061742
27,1,1926,8.87,6.666462205
28,1,1926,8.87,6.636837631
29,1,1926,8.87,6.611078878
30,1,1926,8.87,6.588666931
31,1,1926,8.87,6.568768217
1,2,1926,8.858,6.552629195
2,2,1926,8.814,6.53701411
3,2,1926,8.81,6.521227856
4,2,1926,8.81,6.504804894
5,2,1926,8.81,6.487355199
6,2,1926,8.81,6.469108342
7,2,1926,8.816,6.45068382
8,2,1926,8.85,6.433171395
9,2,1926,8.902,6.418289401
10,2,1926,8.922,6.407917928
11,2,1926,8.902,6.40393902
12,2,1926,8.894,6.408307961
13,2,1926,8.872,6.422108686
14,2,1926,8.87,6.445704569
15,2,1926,8.876,6.478118062
16,2,1926,8.898,6.517123801
17,2,1926,8.9,6.56019895
18,2,1926,8.9,6.604304955
19,2,1926,8.9,6.647051792
20,2,1926,8.9,6.686382989
21,2,1926,8.9,6.720797369
22,2,1926,8.9,6.749414144
23,2,1926,8.9,6.77165812
24,2,1926,8.9,6.787102157
25,2,1926,8.9,6.795691942
26,2,1926,8.9,6.797363696
27,2,1926,8.9,6.792195832
28,2,1926,8.9,6.780257081
1,3,1926,8.9,6.767547078
2,3,1926,8.9,6.748118067
3,3,1926,8.9,6.723241529
4,3,1926,8.906,6.693348875
5,3,1926,8.928,6.658869875
6,3,1926,8.924,6.620926328
7,3,1926,8.896,6.581034526
8,3,1926,8.872,6.541190038
9,3,1926,8.876,6.502944558
10,3,1926,8.892,6.467165887
11,3,1926,8.878,6.434028029
12,3,1926,8.898,6.403314783
13,3,1926,8.9,6.373868595
14,3,1926,8.9,6.345697155
15,3,1926,8.894,6.31935704
16,3,1926,8.878,6.294936511
17,3,1926,8.898,6.272523598
18,3,1926,8.9,6.252127193
19,3,1926,8.894,6.233518687
20,3,1926,8.878,6.216862558
21,3,1926,8.898,6.20208608
22,3,1926,8.9,6.18951112
23,3,1926,8.9,6.179380534
24,3,1926,8.9,6.171936712
25,3,1926,8.9,6.167104255
26,3,1926,8.9,6.164251615
27,3,1926,8.9,6.162904355
28,3,1926,8.9,6.162825101
29,3,1926,8.9,6.163934623
30,3,1926,8.9,6.166787321
31,3,1926,8.9,6.171699085
1,4,1926,8.882,6.192991995
2,4,1926,8.801,6.211490912
3,4,1926,8.718,6.229099839
4,4,1926,8.629,6.246137055
5,4,1926,8.541,6.262919368
6,4,1926,8.458,6.27960487
7,4,1926,8.369,6.296508127
8,4,1926,8.281,6.314099295
9,4,1926,8.198,6.333159875
10,4,1926,8.111,6.354467158
11,4,1926,8.028,6.378558795
12,4,1926,7.939,6.406201664
13,4,1926,7.851,6.438310472
14,4,1926,7.768,6.474623551
15,4,1926,7.679,6.514180579
16,4,1926,7.591,6.555487615
17,4,1926,7.508,6.597065752
18,4,1926,7.419,6.636914456
19,4,1926,7.331,6.673131016
20,4,1926,7.248,6.704059155
21,4,1926,7.159,6.728663046
22,4,1926,7.071,6.74644062
23,4,1926,6.988,6.757645342
24,4,1926,6.901,6.763282544
25,4,1926,6.818,6.765338815
26,4,1926,6.729,6.76724251
27,4,1926,6.641,6.774550376
28,4,1926,6.558,6.793563976
29,4,1926,6.469,6.829014413
30,4,1926,6.381,6.882593021
1,5,1926,6.298,6.965363766
2,5,1926,6.232,7.056532528
3,5,1926,6.248,7.151554384
4,5,1926,6.262,7.244230361
5,5,1926,6.306,7.329184483
6,5,1926,6.31,7.403061155
7,5,1926,6.31,7.464950911
8,5,1926,6.31,7.515233849
9,5,1926,6.31,7.554616208
10,5,1926,6.316,7.584128227
11,5,1926,6.338,7.604982742
12,5,1926,6.34,7.618008555
13,5,1926,6.352,7.6240875
14,5,1926,6.396,7.624373497
15,5,1926,6.406,7.620297438
16,5,1926,6.428,7.61328644
17,5,1926,6.43,7.60476792
18,5,1926,6.43,7.596315391
19,5,1926,6.442,7.588932784
20,5,1926,6.492,7.583482702
21,5,1926,6.53,7.580326336
22,5,1926,6.619,7.58118724
23,5,1926,6.79,7.59552716
24,5,1926,6.84,7.639736408
25,5,1926,6.927,7.721383309
26,5,1926,7.091,7.832639104
27,5,1926,7.14,7.959060799
28,5,1926,7.198,8.088032936
29,5,1926,7.263,8.20989408
30,5,1926,7.353,8.318277471
31,5,1926,7.445,8.413396318
1,6,1926,7.525,8.494830425
2,6,1926,7.657,8.567155769
3,6,1926,7.745,8.631066406
4,6,1926,7.796,8.68761728
5,6,1926,7.812,8.738218783
6,6,1926,7.862,8.784892639
7,6,1926,7.888,8.829620384
8,6,1926,7.89,8.87389952
9,6,1926,7.902,8.91869112
10,6,1926,7.946,8.963858816
11,6,1926,7.95,9.007496454
12,6,1926,7.956,9.047667486
13,6,1926,7.992,9.085667542
14,6,1926,8.045,9.121832633
15,6,1926,8.056,9.154872174
16,6,1926,8.084,9.18463016
17,6,1926,8.108,9.211135843
18,6,1926,8.11,9.234291679
19,6,1926,8.128,9.254800249
20,6,1926,8.194,9.273170995
21,6,1926,8.206,9.289846438
22,6,1926,8.234,9.305203638
23,6,1926,8.264,9.319555326
24,6,1926,8.294,9.333150784
25,6,1926,8.324,9.346115432
26,6,1926,8.354,9.358756963
27,6,1926,8.384,9.371015672
28,6,1926,8.414,9.383136483
29,6,1926,8.444,9.395180665
30,6,1926,8.474,9.407148454
1,7,1926,8.51,9.418676286
2,7,1926,8.556,9.430310795
3,7,1926,8.566,9.442293438
4,7,1926,8.594,9.45462279
5,7,1926,8.626,9.46747832
6,7,1926,8.663,9.480797504
7,7,1926,8.694,9.494698483
8,7,1926,8.718,9.509298555
9,7,1926,8.726,9.524714083
10,7,1926,8.754,9.541239859
11,7,1926,8.778,9.5592278
12,7,1926,8.786,9.578847583
13,7,1926,8.814,9.600028729
14,7,1926,8.844,9.62234478
15,7,1926,8.868,9.645313759
16,7,1926,8.87,9.668871118
17,7,1926,8.87,9.691717955
18,7,1926,8.87,9.712979518
19,7,1926,8.876,9.732023283
20,7,1926,8.898,9.748746847
21,7,1926,8.9,9.763396864
22,7,1926,8.9,9.776158563
23,7,1926,8.906,9.787389272
24,7,1926,8.928,9.797095011
25,7,1926,8.936,9.80533902
26,7,1926,8.958,9.811835647
27,7,1926,8.96,9.816415072
28,7,1926,8.96,9.818964555
29,7,1926,8.966,9.819543875
30,7,1926,8.994,9.818385195
31,7,1926,9.018,9.815951446
1,8,1926,9.02,9.812589395
2,8,1926,9.026,9.809342
3,8,1926,9.054,9.80690563
4,8,1926,9.084,9.806035327
5,8,1926,9.114,9.807485782
6,8,1926,9.144,9.81171968
7,8,1926,9.168,9.819022489
8,8,1926,9.17,9.829559779
9,8,1926,9.17,9.843203789
10,8,1926,9.17,9.859766272
11,8,1926,9.17,9.87865448
12,8,1926,9.164,9.89922115
13,8,1926,9.142,9.92059502
14,8,1926,9.14,9.94168492
15,8,1926,9.14,9.961239967
16,8,1926,9.14,9.978248104
17,8,1926,9.14,9.991760792
18,8,1926,9.146,10.00122886
19,8,1926,9.174,10.0066099
20,8,1926,9.198,10.00819521
21,8,1926,9.206,10.00677977
22,8,1926,9.228,10.00338171
23,8,1926,9.23,9.998848717
24,8,1926,9.238,9.993972895
25,8,1926,9.273,9.989321101
26,8,1926,9.298,9.987107718
27,8,1926,9.306,9.984269158
28,8,1926,9.334,9.979270864
29,8,1926,9.358,9.974553725
30,8,1926,9.366,9.96983383
31,8,1926,9.388,9.965509582
1,9,1926,9.396,9.96112608
2,9,1926,9.424,9.957195992
3,9,1926,9.454,9.95428992
4,9,1926,9.478,9.951382808
5,9,1926,9.486,9.95035652
6,9,1926,9.514,9.951154755
7,9,1926,9.538,9.954460894
8,9,1926,9.54,9.960271875
9,9,1926,9.546,9.968639203
10,9,1926,9.568,9.979554941
11,9,1926,9.576,9.993178877
12,9,1926,9.598,10.00955379
13,9,1926,9.606,10.02877562
14,9,1926,9.628,10.05082356
15,9,1926,9.636,10.07556142
16,9,1926,9.658,10.10285144
17,9,1926,9.666,10.13266616
18,9,1926,9.694,10.164254
19,9,1926,9.718,10.19687341
20,9,1926,9.726,10.23001435
21,9,1926,9.754,10.26328472
22,9,1926,9.784,10.29629912
23,9,1926,9.814,10.3288961
